season,league,club,total_spent,players_bought,loans,funds_received,net_spend
2024,Premier League,Crystal Palace,91900000.0,9,3,100700000.0,-8800000.0
2024,Premier League,Everton FC,50200000.0,8,4,84150000.0,-33950000.0
2024,Premier League,Fulham FC,91550000.0,7,1,68800000.0,22750000.0
2024,Premier League,Ipswich Town,152590000.0,16,4,2360000.0,150230000.0
2024,Premier League,Leicester City,91050000.0,10,2,47250000.0,43800000.0
2024,Premier League,Liverpool FC,42000000.0,2,0,47000000.0,-5000000.0
2024,Premier League,Manchester City,243000000.0,7,0,141700000.0,101300000.0
2024,Premier League,Manchester United,246300000.0,7,0,117200000.0,129100000.0
2024,Premier League,Newcastle United,68200000.0,5,0,89550000.0,-21350000.0
2024,Premier League,Nottingham Forest,105500000.0,13,2,86700000.0,18800000.0
2024,Premier League,Southampton FC,123050000.0,19,3,41590000.0,81460000.0
2024,Premier League,Tottenham Hotspur,185350000.0,8,2,55300000.0,130050000.0
2024,Premier League,West Ham United,144400000.0,11,3,46150000.0,98250000.0
2024,Premier League,Wolverhampton Wanderers,124400000.0,11,2,116200000.0,8200000.0
2025,Premier League,AFC Bournemouth,138100000.0,7,1,238410000.0,-100310000.0
2025,Premier League,Arsenal FC,293500000.0,8,1,10300000.0,283200000.0
2025,Premier League,Aston Villa,30500000.0,5,2,55150000.0,-24650000.0
2025,Premier League,Brentford FC,98700000.0,7,1,155300000.0,-56600000.0
2025,Premier League,Brighton & Hove Albion,80000000.0,6,0,146000000.0,-66000000.0
2025,Premier League,Burnley FC,128650000.0,14,1,35000000.0,93650000.0
2025,Premier League,Chelsea FC,339150000.0,10,1,332250000.0,6900000.0
2025,Premier League,Crystal Palace,55300000.0,5,1,74150000.0,-18850000.0
2025,Premier League,Everton FC,129750000.0,9,2,12600000.0,117150000.0
2025,Premier League,Fulham FC,44500000.0,4,2,17000000.0,27500000.0
2025,Premier League,Leeds United,113700000.0,10,0,8000000.0,105700000.0
2025,Premier League,Liverpool FC,482900000.0,7,0,219500000.0,263400000.0
2025,Premier League,Manchester City,206900000.0,7,0,70500000.0,136400000.0
2025,Premier League,Manchester United,250700000.0,5,0,74200000.0,176500000.0
2025,Premier League,Newcastle United,278850000.0,7,1,176000000.0,102850000.0
2025,Premier League,Nottingham Forest,236900000.0,13,2,126900000.0,110000000.0
2025,Premier League,Sunderland AFC,187900000.0,15,2,51000000.0,136900000.0
2025,Premier League,Tottenham Hotspur,210600000.0,8,2,42500000.0,168100000.0
2025,Premier League,West Ham United,143800000.0,9,1,89500000.0,54300000.0
2025,Premier League,Wolverhampton Wanderers,140000000.0,7,1,137500000.0,2500000.0
