team_name,year,understat_season,position,pts,npxGD,xGA,revenue,wage_bill,top_15_next_2_seasons,predicted_stability_probability,model,exclude_big_six
Chelsea,2021,2021/22,3,74,31.8979018,35.11562419999999,481.0,340.0,1,0.9822719782001987,full_model_all_clubs_sensitivity,False
Chelsea,2022,2022/23,12,44,-3.649938000000006,54.022507,513.0,404.0,1,0.8464337575227803,full_model_all_clubs_sensitivity,False
Crystal Palace,2021,2021/22,12,48,4.377117400000017,41.3314426,160.0,124.0,1,0.4804724814254387,full_model_all_clubs_sensitivity,False
Crystal Palace,2022,2022/23,11,45,-10.285157999999996,51.626247,180.0,130.0,1,0.10502645590299715,full_model_all_clubs_sensitivity,False
Everton,2021,2021/22,16,39,-20.03029400000001,60.694247,181.0,162.0,0,0.3759673199714094,full_model_all_clubs_sensitivity,False
Everton,2022,2022/23,17,36,-17.649514399999973,68.58286199999999,172.0,159.0,1,0.26716376355118837,full_model_all_clubs_sensitivity,False
Fulham,2022,2022/23,10,52,-24.179839200000004,71.490811,182.0,139.0,1,0.20732876300691708,full_model_all_clubs_sensitivity,False
Leeds,2021,2021/22,17,38,-20.123538,71.30961199999999,189.0,121.0,0,0.10877728350428492,full_model_all_clubs_sensitivity,False
Leeds,2022,2022/23,19,31,-19.501572000000003,69.58103300000002,190.0,146.0,0,0.10231452620657289,full_model_all_clubs_sensitivity,False
Leicester,2021,2021/22,8,52,-11.097022800000005,66.10659400000002,215.0,182.0,0,0.676059860247412,full_model_all_clubs_sensitivity,False
Leicester,2022,2022/23,18,34,-11.650683500000014,59.789351,177.0,206.0,0,0.6214444777541139,full_model_all_clubs_sensitivity,False
Liverpool,2021,2021/22,2,92,54.099965,32.731055,594.0,366.0,1,0.9894645450177441,full_model_all_clubs_sensitivity,False
Liverpool,2022,2022/23,5,67,24.99867,55.773338,594.0,373.0,1,0.9158122378454788,full_model_all_clubs_sensitivity,False
Manchester City,2021,2021/22,1,93,61.87315399999999,25.212244,613.0,354.0,1,0.9887095623043821,full_model_all_clubs_sensitivity,False
Manchester City,2022,2022/23,1,89,44.78499330000002,34.208414899999994,713.0,423.0,1,0.9875483682118353,full_model_all_clubs_sensitivity,False
Manchester United,2021,2021/22,6,58,0.362601000000005,56.85227999999999,583.0,384.0,1,0.9192885431696026,full_model_all_clubs_sensitivity,False
Manchester United,2022,2022/23,3,75,21.613549,50.28763899999999,648.0,331.0,1,0.9656967362840873,full_model_all_clubs_sensitivity,False
Newcastle United,2021,2021/22,11,49,-18.745926999999995,62.711766,180.0,170.0,1,0.682988244993033,full_model_all_clubs_sensitivity,False
Newcastle United,2022,2022/23,4,71,34.35964010000001,41.8562479,250.0,187.0,1,0.8337404784429048,full_model_all_clubs_sensitivity,False
Norwich,2021,2021/22,20,22,-41.488207200000005,80.07547500000003,134.0,118.0,0,0.04786428565104121,full_model_all_clubs_sensitivity,False
Nottingham Forest,2022,2022/23,16,38,-26.60133300000001,68.459309,155.0,145.0,0,0.4359110427246189,full_model_all_clubs_sensitivity,False
Southampton,2021,2021/22,15,40,-18.73178000000001,64.557484,151.0,113.0,0,0.13295553927933706,full_model_all_clubs_sensitivity,False
Southampton,2022,2022/23,20,25,-24.483745,62.900044,146.0,123.0,0,0.0563753979540304,full_model_all_clubs_sensitivity,False
Tottenham,2021,2021/22,4,71,21.968508600000007,43.69930299999999,444.0,209.0,1,0.9450060405431626,full_model_all_clubs_sensitivity,False
Tottenham,2022,2022/23,8,60,4.650706999999983,51.660728000000006,550.0,251.0,0,0.8726367584491009,full_model_all_clubs_sensitivity,False
Watford,2021,2021/22,19,23,-24.388179,67.53443,128.0,79.0,0,0.01938813173114422,full_model_all_clubs_sensitivity,False
West Ham,2021,2021/22,7,56,0.9510740000000056,53.87672200000001,253.0,136.0,1,0.6202048245783057,full_model_all_clubs_sensitivity,False
West Ham,2022,2022/23,14,40,-5.623793000000035,55.31217300000002,237.0,137.0,1,0.6342181989594433,full_model_all_clubs_sensitivity,False
Wolverhampton Wanderers,2021,2021/22,10,51,-12.589150099999998,58.48269700000001,166.0,121.0,1,0.31230959897797905,full_model_all_clubs_sensitivity,False
Wolverhampton Wanderers,2022,2022/23,13,41,-26.79406399999997,62.68203999999999,169.0,142.0,0,0.2110459307581609,full_model_all_clubs_sensitivity,False
